cunicah,trh2b_12,trh4b_12
1,4, 
2,3, 
3,5, 
4,1, 
5,1, 
6,4, 
8, ,1
9,6, 
10,4, 
14,2, 
15,4, 
16,4, 
17,3, 
18,8, 
19,4, 
20,4, 
21,4, 
22,2, 
23, ,1
24,4, 
24,8, 
25,6, 
27, ,1
27, ,1
30,10, 
31,5, 
35,6, 
36,3, 
37,4, 
39,3, 
42,2, 
43, ,1
43, ,1
44,3, 
46, ,1
49,1,2
50,7, 
52,3, 
53,9, 
54,5, 
56,6, 
57,5, 
58,2, 
58,5, 
59,1,2
62,1, 
62,1, 
63,1, 
64,3, 
65, ,1
67,4, 
72,1, 
73,4, 
74,1, 
77,2, 
80,2, 
81,1, 
83,1, 
85,1,2
86, ,1
90, ,1
91,4, 
92,2, 
93,7, 
94,1, 
95,7, 
96,5, 
97,9, 
99, ,1
100,4, 
104,3, 
105,4, 
108,7, 
110,7, 
111,7, 
112,2, 
113,2, 
115,1, 
116,3, 
117, ,1
118,3, 
122,3, 
124, ,1
125,3, 
126,2, 
127,4,2
129,3, 
130,1, 
131,4, 
132,1,2
134,4, 
135,5, 
136,9, 
138,2, 
142,3, 
145,5, 
147,5, 
149,3, 
150,1, 
151,2, 
152, ,1
156,1,2
158,2, 
163,3, 
165,1, 
166,1, 
168,6, 
168,6, 
169,5, 
170,3,2
171,3, 
173,1, 
175,1,2
176,4, 
178, ,1
179,2, 
180,3, 
182,4, 
186, ,1
188,3, 
189,3, 
192,3, 
198,1, 
199, ,1
201,5, 
202, ,1
203,1,2
205,4, 
207,4, 
208, ,1
211,2, 
212,3, 
213, ,1
214,5,2
215,3, 
218, ,1
219,2, 
220,1,2
221,5, 
223,1, 
224, ,1
226,2, 
228,3, 
229,1,2
230,2, 
231, ,1
234,1,2
235,4, 
236,3, 
243,3, 
244,2, 
247, ,1
248,6, 
249,5, 
252,1, 
254,12, 
255,2, 
257,3, 
258,1, 
260,2, 
262,1, 
264,1, 
265,5, 
272,4, 
273,1, 
274,1, 
277,3, 
278,2, 
279,2, 
280, ,1
282, ,1
284, ,1
285,1, 
287,1, 
288,4, 
289,4, 
291,5, 
292,2,2
293,2, 
294,1, 
295,1, 
296,2, 
298,1, 
299,4, 
300,3, 
301,2, 
303,5,2
304,1, 
306,3, 
308, ,1
309, ,1
310,7, 
311, ,1
312,3, 
313,2, 
314,2,2
316,5, 
317,7, 
321,2, 
322,1, 
323,7, 
325,2, 
326,3, 
327,15, 
328,13, 
329,5, 
330,7, 
331,4,2
333,6, 
334, ,1
335,2, 
337,1, 
339, ,1
340,17, 
343, ,1
344,1, 
345,10, 
346,6, 
348, ,1
350,3, 
351,2, 
355,1, 
357,4, 
358, ,1
360, ,1
361, ,1
362,6, 
363,3, 
365,1, 
366,4, 
367,1, 
367,6, 
368,8, 
370,3, 
371,5, 
374,1, 
375,12, 
378,4, 
379,9, 
381,5, 
382,4, 
384,1,2
386,1, 
387,4, 
388, ,1
389,10,2
390,5, 
392,4, 
393,4, 
395,5, 
396,1, 
398,3, 
399,2, 
400,2, 
401,1,2
405,4, 
408,1, 
409,4, 
413,5, 
414,1,2
415,4, 
417,1, 
418,11, 
419,1, 
420,4, 
421, ,1
423,4, 
424,7, 
425,6, 
426,3, 
427,5, 
428,1, 
429,1, 
430,1, 
434,6, 
435,4, 
436,1, 
437,1, 
457,14, 
458,7, 
460,6, 
463,6, 
464,2, 
465,10, 
466,2, 
467, ,1
469,5, 
470, ,1
471,2, 
472,7,2
473,6, 
474,1,2
475,3, 
475,3, 
476,2, 
479,4, 
480,8, 
481,7, 
482,2, 
483,8, 
492,7, 
494,7, 
496,1,2
498, ,1
499,2,2
501,7, 
502,11, 
503,1,2
504,1, 
505,1, 
511,4, 
512,3, 
513,6, 
514,2, 
515,11,2
516,1, 
519,2, 
520,11, 
521,2, 
522,4, 
523, ,1
524,1, 
525,2, 
526,1, 
527,2, 
531,3, 
545,1, 
546, ,1
547,3, 
549,5, 
550,3, 
551, ,1
553, ,1
554,8, 
555, ,1
556,3, 
557,1, 
559,3, 
561,3, 
562,1, 
564,2, 
566,2,2
567, ,1
568, ,1
569,1, 
571,2, 
572,1, 
574,1, 
576, ,1
578,4, 
579,6, 
580,2,2
582,4, 
583,2, 
584,5, 
585,7, 
587,6, 
591,1, 
593,1, 
594,3, 
595, ,1
598,3, 
599,1, 
601,2, 
602, ,1
606,5, 
608, ,1
609,3, 
611,2, 
612,6, 
614, ,1
615,1, 
616,2, 
619,4, 
620,3,2
625,2, 
626,1, 
628, ,1
629,2, 
630,3, 
631, ,1
632,5, 
635,3, 
636, ,1
637,6, 
638,3, 
642,4, 
643,7, 
644,1, 
644,4, 
647,2, 
648,3, 
649,2, 
650,1, 
651,1, 
652, ,1
653, ,1
655,8, 
657,4, 
658,7, 
659,2, 
660,1, 
664,16, 
665,1,2
666, ,1
667, ,1
668,6, 
670, ,1
671,3, 
672,4, 
674,4, 
675,1, 
676,5, 
678,1, 
681,2, 
771, ,1
834,2, 
838,4, 
844,1, 
846,3, 
849,4, 
852,1, 
853,7, 
854, ,1
855,1, 
856,2, 
859,1, 
860,2, 
861,7, 
865,5, 
867,3, 
869,3, 
872,3, 
874,5, 
875,1, 
877, ,1
878,1, 
879,3, 
880,3, 
883, ,1
885,6, 
887,5,2
888,2, 
888,3, 
889,1, 
890, ,1
891,2,2
892,6, 
893,2, 
894,1,2
895,8, 
897,1, 
898,7, 
900,4, 
901,1, 
902,1, 
903,1, 
908,2,2
909,1, 
910, ,1
912, ,1
913,1, 
914,1, 
915,5, 
917, ,1
919,2, 
921,4,2
923, ,1
926,2, 
927,3, 
931,2, 
934,3,2
937,3, 
938,3, 
941,6, 
943, ,1
948, ,1
949,2, 
954,3, 
955,1, 
956,1, 
957,2,2
958,2, 
962,2, 
963,2, 
966,1, 
971,3, 
972,4, 
973,2, 
977,4, 
978,3, 
980,2, 
981,4, 
983,3, 
984, ,1
986,5, 
989,3, 
993, ,1
995,2, 
996,1, 
997,1, 
998,2,2
1001,5, 
1002,2, 
1003, ,1
1004,2, 
1005,2, 
1006,3, 
1007,7, 
1008,2, 
1014, ,1
1015,1, 
1016,4,2
1017,2, 
1019,5, 
1022,3, 
1024, ,1
1026,1,2
1027,1, 
1028, ,1
1029,1, 
1030,2, 
1031,1, 
1033,3,2
1034,3, 
1036,5, 
1039,1,2
1040,2, 
1041,1, 
1044,2, 
1045,9, 
1047,1, 
1048,2, 
1049,3, 
1051,4, 
1052,11, 
1054,5,2
1055,4,2
1056,3, 
1057,2, 
1058,1, 
1059,4, 
1061, ,1
1062,1, 
1065,1, 
1066,2, 
1067, ,1
1068,1, 
1070, ,1
1072,4,2
1073, ,1
1074, ,1
1075, ,1
1076,2, 
1077,1, 
1079,1, 
1079,2, 
1080,6,2
1081, ,1
1082,1,2
1085,1, 
1086, ,1
1087,3, 
1088,2, 
1089,5, 
1091,3, 
1092,3, 
1093,2, 
1094,4, 
1095,3, 
1095,3, 
1096,2, 
1097,9, 
1099,2, 
1100,7, 
1101, ,1
1102,2, 
1103,7, 
1105,7, 
1107,5, 
