cunicah,eam_18,trh2b_18,trh4b_18
1,0,0,1
2,0,3, 
3,0,1, 
4,0,5, 
5,0,0,1
6,0,3,2
8,0,0,1
10,0,1, 
14,0,3,2
15,0,2,2
16,0,3, 
17,0,0,1
19,0,2, 
21,0,3, 
22,0,1,2
23,0,0,1
24,0,0,1
25,0,4, 
27,0,0,1
30,0,4, 
31,0,1,2
35,0,2, 
36,0,2, 
37,0,4, 
39,0,2, 
42,0,6, 
43,0,3,2
44,0,3, 
49,0,1, 
50,0,6, 
52,0,3, 
53,0,1, 
54,0,5, 
58,0,0, 
59,0,0, 
64,0,0, 
65,0,0,1
67,0,0,1
72,0,4, 
73,0,5, 
74,0,0, 
77,0,0, 
80,0,1, 
81,0,0,1
83,0,2, 
85,0,0,1
86,0,2,2
89,0,1,2
90,0,2,2
91,0,3,2
92,0,3, 
93,0,1, 
94,0,1,2
98,0,1, 
99,0,0,1
100,0,3,2
105,0,0,1
108,0,8, 
110,0,7, 
111,0,5, 
112,0,5, 
113,0,1, 
115,0,3,2
116,0,3, 
118,0,0, 
124,0,0,1
125,0,3, 
126,0,1, 
129,0,0,1
131,0,0,1
132,0,1, 
134,0,4, 
136,0,10, 
138,0,0,1
142,0,4, 
147,0,0,1
149,0,0,1
152,0,0,1
154,0,1, 
158,0,2, 
163,0,3, 
166,0,1, 
167,0,0,1
168,0,1, 
168,0,2, 
169,0,0,1
170,0,3, 
175,0,1, 
176,0,2, 
179,0,4,2
180,0,2, 
186,0,0,1
188,0,0,1
189,0,5, 
192,0,3, 
198,0,1, 
199,0,1, 
202,0,0,1
203,0,1,2
205,0,6, 
207,0,4, 
208,0,0,1
209,0,2, 
211,0,0,1
213,0,0,1
218,0,0,1
220,0,3, 
221,0,2, 
224,0,0,1
226,0,1, 
228,0,1, 
230,0,1, 
231,0,0,1
235,0,0,1
236,0,1, 
243,0,2, 
247,0,0,1
248,0,0, 
249,0,3, 
252,0,1, 
254,0,9, 
257,0,4, 
258,0,1, 
260,0,1, 
264,0,0,1
265,0,3, 
272,0,0, 
273,0,0,1
274,0,1, 
278,0,1, 
279,0,2, 
280,0,0,1
282,0,0,1
284,0,1, 
288,0,2, 
289,0,0, 
291,0,1,2
292,0,4, 
293,0,3, 
294,0,1, 
295,0,2, 
296,0,1, 
298,0,0, 
299,0,0,1
300,0,2, 
303,0,5, 
304,0,3, 
306,0,4, 
308,0,0,1
310,0,4, 
312,0,0,1
316,0,4, 
321,0,0,1
322,0,0,1
323,0,3, 
326,0,0,1
327,0,6, 
328,0,2, 
329,0,4, 
330,0,6, 
331,0,3, 
333,0,4, 
334,0,0,1
335,0,2, 
339,0,0,1
340,0,9, 
343,0,0,1
344,0,1, 
345,0,0,1
350,0,4,2
351,0,2, 
355,0,5, 
357,0,3, 
360,0,0,1
361,0,0,1
362,0,5, 
363,0,1, 
365,0,0,1
366,0,1, 
367,0,0,1
368,0,0,1
370,0,1, 
374,0,1,2
375,0,1,2
378,0,5, 
379,0,3, 
381,0,1,2
382,0,3, 
383,0,1,2
386,0,1, 
387,0,1, 
388,0,0,1
390,0,4, 
392,0,2, 
393,0,2, 
395,0,0, 
396,0,0,1
397,1,4, 
399,0,1, 
408,0,1, 
409,0,2, 
413,0,0,1
414,0,0, 
417,0,0,1
418,0,11, 
419,0,0,1
420,0,1, 
421,0,4, 
423,0,0,1
424,0,3, 
425,0,0, 
426,0,1, 
427,0,2, 
428,0,1, 
429,0,5, 
434,0,3, 
435,0,0, 
436,0,3, 
437,0,4,2
439,0,0,1
440,0,4, 
446,0,0, 
447,0,5, 
448,0,1, 
451,0,4, 
453,0,3, 
454,0,2, 
455,0,0,1
457,0,1, 
458,0,3, 
460,0,3, 
463,0,0, 
466,0,1, 
467,0,5, 
469,0,0, 
470,0,0,1
471,0,1, 
473,0,0,1
475,0,0,1
476,0,2, 
479,0,0, 
480,0,4, 
481,0,4, 
482,0,4, 
483,0,3, 
484,0,3, 
485,0,0,1
486,0,1, 
489,0,0,1
492,0,3, 
494,0,2, 
496,0,2, 
496,0,1, 
498,0,0,1
502,0,1, 
503,0,2,2
504,0,0,1
505,0,0,1
507,0,5, 
509,0,1, 
512,0,0,1
513,0,4, 
514,0,0,1
515,0,5, 
519,0,0,1
520,0,2, 
521,0,0,1
522,0,1, 
523,0,0,1
524,0,1, 
525,0,4, 
527,0,0,1
527,0,0,1
528,0,0,1
529,0,5, 
530,0,4,2
531,0,3, 
533,1,1, 
535,1,0,1
537,1,1,2
540,1,3, 
541,1,1, 
542,1,2, 
544,1,1, 
545,0,2,2
546,0,0,1
549,0,0,1
550,0,0,1
551,0,2, 
556,1,0, 
559,1,3, 
561,0,1, 
562,1,1, 
563,1,0,1
566,1,2, 
567,1,0,1
568,1,0,1
569,1,1, 
572,1,0,1
574,1,0, 
576,0,0,1
579,0,2, 
583,0,1, 
584,0,4, 
585,0,6, 
586,0,0,1
587,0,5, 
591,0,1, 
593,0,1, 
594,0,0,1
598,0,1, 
599,0,0,1
601,0,0,1
602,0,2,2
606,0,3, 
609,0,1,2
611,0,1, 
612,0,0, 
615,0,0,1
616,0,1, 
625,0,1, 
626,0,0,1
627,0,1, 
628,0,0,1
629,0,0,1
630,0,3, 
631,0,4,2
632,0,4, 
635,0,1, 
636,0,3,2
638,0,1, 
642,0,4, 
643,0,3, 
644,0,0,1
647,0,1, 
648,0,2, 
649,0,0,1
652,0,0,1
655,0,9, 
657,0,5,2
658,0,3, 
659,0,0,1
659,0,0,1
660,0,3,2
665,0,1, 
667,0,0,1
668,0,3, 
670,0,0,1
671,0,3, 
672,0,6, 
674,0,0,1
675,0,0,1
676,0,2, 
678,0,2, 
681,0,1, 
684,0,0, 
689,0,6, 
690,0,0,1
692,0,0,1
693,0,2, 
698,0,0, 
702,0,3, 
703,0,0,1
704,0,6, 
706,0,1, 
711,0,0, 
713,0,0,1
716,0,0, 
718,0,0, 
723,0,0, 
724,0,3, 
726,0,0,1
729,0,3, 
733,0,0, 
735,0,1, 
737,0,0,1
739,0,1, 
741,0,1, 
743,0,3, 
744,0,1, 
745,0,1, 
746,0,4, 
747,0,0,1
749,0,3, 
750,0,0, 
754,0,5, 
756,0,4, 
757,0,4, 
762,0,3, 
763,0,0,1
764,0,0,1
766,0,1, 
769,0,6, 
770,0,1, 
771,1,0,1
772,0,0,1
775,0,4,2
776,0,0,1
777,0,0,1
780,0,0, 
782,0,1, 
785,0,2, 
786,0,0, 
792,0,3, 
793,0,5, 
794,0,0,1
796,0,2, 
800,0,0,1
800,0,3, 
801,0,2, 
803,0,5, 
804,0,0,1
806,0,2,2
807,0,0, 
808,0,1, 
809,0,0,1
810,0,1, 
812,0,2, 
815,0,0,1
818,0,0,1
819,0,0,1
821,0,0,1
822,0,3, 
823,0,0,1
824,0,0,1
825,0,0,1
827,0,0,1
829,0,0, 
831,0,1, 
834,0,0, 
838,0,5, 
844,0,0,1
846,0,1, 
849,0,0,1
852,0,0, 
853,0,4, 
855,0,1, 
860,0,2, 
861,0,3, 
867,0,2, 
869,0,2, 
872,0,2, 
874,0,5, 
875,0,0,1
877,0,0,1
878,0,1, 
879,0,1, 
883,0,0,1
885,0,6, 
888,0,1, 
889,0,2,2
890,0,0,1
891,0,2, 
892,0,1, 
898,0,7, 
900,0,2, 
901,0,0,1
902,0,1, 
903,0,1,2
909,0,0,1
910,0,0,1
912,0,0,1
913,0,0,1
914,0,1, 
915,0,2, 
919,0,1, 
921,0,4, 
923,0,0,1
931,0,2, 
934,0,3, 
937,0,1,2
941,0,2, 
945,0,0,1
948,0,3, 
949,0,1, 
954,0,0,1
955,0,1, 
956,0,1, 
957,0,0,1
958,0,1, 
962,0,2, 
963,0,0, 
966,0,1, 
968,0,1,2
971,0,3, 
972,0,0,1
973,0,0,1
978,0,1, 
980,0,0, 
983,0,2, 
984,0,0,1
986,0,0, 
988,0,0,1
990,0,4, 
992,0,6, 
993,0,0,1
995,0,0, 
996,0,0, 
997,0,0, 
998,0,2, 
1001,0,7,2
1002,0,5, 
1003,0,1, 
1004,0,1, 
1005,0,2, 
1006,0,1, 
1007,0,6, 
1008,0,1, 
1014,0,2,2
1015,0,0,1
1016,0,1, 
1017,0,3, 
1024,0,0,1
1025,0,2, 
1026,0,0,1
1027,0,0,1
1028,0,1, 
1029,0,2, 
1030,0,2, 
1036,0,1, 
1040,0,2, 
1041,0,0,1
1044,0,0, 
1044,0,1,2
1045,0,4,2
1048,0,5, 
1049,0,1, 
1051,0,0,1
1052,0,5, 
1054,0,6, 
1056,0,0,1
1057,0,0, 
1058,0,1, 
1059,0,4, 
1061,0,0,1
1065,0,6, 
1066,0,0,1
1067,0,0,1
1068,0,0,1
1070,0,0,1
1072,0,3, 
1073,0,0,1
1074,0,1, 
1075,0,0,1
1076,0,3, 
1077,0,0,1
1079,0,2, 
1081,0,0,1
1082,0,1, 
1086,0,1,2
1087,0,3, 
1088,0,0,1
1089,0,4, 
1091,0,0,1
1093,0,1, 
1094,0,0,1
1095,0,2,2
1095,0,0,1
1096,0,0, 
1097,0,0,1
1099,0,2, 
1100,0,1, 
1101,0,0,1
1102,0,1, 
1103,0,4, 
1105,0,7, 
1107,0,0, 
1110,0,4, 
1112,0,2, 
1114,0,0,1
1116,0,3, 
1117,0,0,1
1118,0,3, 
1120,0,1, 
1121,0,6, 
1122,0,0,1
1123,0,0,1
1124,0,1, 
1125,0,0,1
1129,1,0,1
1131,1,2, 
1132,1,0,1
1133,1,0,1
1135,1,0,1
1137,1,6, 
1138,1,0,1
1139,1,1, 
1142,1,1, 
1144,1,1, 
1147,1,0,1
1148,1,0,1
1157,1,1, 
1161,0,2, 
1161,1,0,1
1162,0,5, 
1165,0,0,1
1166,0,4, 
1167,0,1,2
1168,0,0,1
1170,0,0,1
1172,0,3, 
1176,0,0,1
1177,0,6,2
1178,0,1, 
1179,0,3, 
1180,0,4, 
1181,0,0,1
1183,0,1, 
1186,0,0, 
1187,0,5, 
1188,0,9, 
1189,0,3,2
1192,0,0, 
1193,0,5,2
1195,0,3, 
1198,0,1, 
1201,0,0,1
1202,0,1, 
1203,0,1, 
1204,0,3, 
1204,0,3, 
1206,0,5, 
1207,0,3, 
1209,0,3, 
1211,0,0,1
1212,0,3, 
1215,0,2, 
1218,0,0,1
1220,0,0,1
1228,0,1, 
1230,0,0,1
1231,0,2,2
1232,0,2, 
1234,0,2, 
1235,0,2, 
1236,0,1, 
1237,0,3, 
1239,0,1, 
1240,0,2, 
1242,0,1, 
1244,0,3, 
1245,0,0,1
1246,0,1, 
1247,0,4, 
1249,0,0,1
1250,0,0,1
1251,0,1, 
1253,0,3, 
1256,0,1, 
1259,0,3, 
1260,0,1, 
1267,0,5, 
1268,0,1, 
1271,0,0,1
1273,0,9, 
1275,0,0,1
1276,0,3, 
1277,0,2, 
1279,0,1,2
1280,0,0,1
1282,0,3, 
1284,0,0,1
1286,0,1, 
1287,0,0,1
1289,0,0,1
1290,0,2, 
